url,mod_title,mod_description,videos
https://www.coursera.org/learn/technical-support-fundamentals,Networking,"In the fourth module of this course, we'll learn about computer networking. We'll explore the history of the Internet and what ""The Web"" actually is. We'll also discuss topics like Internet privacy, security, and what the future of the Internet may look like. You'll also understand why the Internet has limitations even today. By the end of this module, you will know how the Internet works and recognize both the positive and negative impacts the Internet has had on the world.",Module Introduction;Basics of Networking;Networking Hardware;TCP/IP;The Web;Victor: First job experiences;History of the Internet;Limitations of the Internet;Changing Careers;Impact;Internet of Things;Gian: What he does in Android Security;Privacy and Security;Heather Adkins: keeping hackers out;Learner Story: Melinda
https://www.coursera.org/learn/technical-support-fundamentals,Software,"In the fifth module of this course, we'll learn about computer software. We'll learn about what software actually is and the different types of software you may encounter as an IT Support Specialist. We'll also explore how to manage software and revisit the concept of ""abstraction."" By the end of this module, you'll use the Qwiklabs environment to install, update and remove software on both Windows and Linux operating systems.","Module Introduction;How software is built: Coding, scripting, and programming ;Types of Software;Revisiting Abstraction;Recipe for Computing;Phelan: Learning IT in the Navy;Managing Software;Installing, Updating, and Removing Software on Windows;Installing, Updating, and Removing Software on Linux;Software Automation"
https://www.coursera.org/learn/technical-support-fundamentals,Troubleshooting,"Congratulations, you've made it to the last module of the course! In the final module, we'll learn about the importance of troubleshooting and customer support. We'll go through some real-world scenarios that you might encounter at a Help Desk or Desktop Support role. We'll learn why empathizing with a user is super important when working in a tech role. Finally, we'll learn why writing documentation is an important aspect of any IT role. By the end of this module, you will utilize soft skills and write documentation to communicate with others.",Module Introduction;Ask Questions!;Isolating the Problem;Follow the Cookie Crumbs;Start with the Quickest Step First;Troubleshooting Pitfalls to Avoid;Amir: Attributes in an IT support space;Intro to Soft Skills;Anatomy of an Interaction;How to Deal with Difficult Situations Part I;How to Deal with Difficult Situations Part II;Ticketing Systems and Documenting Your Work;Process Documentation;Documenting in Ticketing Systems;Your Opportunity for Success;Standing Out from the Crowd;Getting Ready for the Interview;What to Expect During the Technical Interview;Showing Your Best Self During the Interview;Interview Role Play: Customer Service;Course Wrap Up;Sabrina: Technology can open doors ;Congratulations!
https://www.coursera.org/learn/os-power-user,Navigating the System,"Welcome to the Operating Systems course of the IT Support Professional Certificate! In the first module of this course, we will cover the basics of Windows and Linux operating systems (OS). We will learn about how directories and files work in Windows and Linux OS. You will also learn practical ways to manipulate files and directories in the Windows graphical user interface (GUI), Windows command line interface (CLI), and Linux shell. By the end of this module, you will interact with files and directories and perform basic text manipulation in Windows and Linux OS.","Course Introduction;Lesson Overview & Practice Tips;Windows: List Directories in a GUI;Windows: List Directories in CLI;Linux: List Directories;Windows: Changing Directories in the GUI;Windows: Changing Directories in the CLI;Linux: Changing Directories in Bash;Windows: Make Directories in the GUI & CLI;Linux: Make Directories in Bash;Windows: Command History;Linux: Command History;Windows: Copying Files & Directories;Linux: Copying Files and Directories;Windows: Moving and Renaming Files, Directories;Linux: Moving and Renaming Files, Directories;Windows: Removing Files & Directories;Linux: Removing Files & Directories;Chelsea: Their learner story ;Cindy: Why OS is important;Windows: Display File Contents;Linux: Display File Contents;Windows: Modifying Text Files;Linux: Modifying Text Files;Windows Powershell;Windows: Searching within Files;Windows: Searching within Directories;Linux: Searching within Files;Windows: Input, Output, and the Pipeline;Linux: Input, Output and Pipeline;Windows and Linux Advanced Navigation;Ben: My first tech job"
https://www.coursera.org/learn/os-power-user,Users and Permissions,"In the second module of this course, we'll learn about configuring users and permissions in Windows and Linux OS. As an IT Support Specialist, it's important to know how to grant the appropriate permissions to users and groups for both Windows and Linux OS. By the end of this module, you will know how to add, modify, and remove users for a computer and for specific files and folders by using the Windows GUI, Windows CLI, and Linux shell.","Users, Administrators, and Groups, Oh My!;Windows: View User and Group Information;Windows: View User and Group Information using CLI;Linux: Users, Superuser and Beyond;Windows: Passwords;Linux: Passwords;Windows: Adding and Removing Users;Linux: Adding and Removing Users;Mobile Users and Accounts;Ben: Life as a CIO;Windows: File Permissions;Linux: File Permissions;Windows: Modifying Permissions;Linux: Modifying Permissions;Windows: Special Permissions;Linux: SetUID, SetGID, Sticky Bit"
https://www.coursera.org/learn/os-power-user,Package and Software Management,"In the third module of this course, we'll learn about package and software management in Windows and Linux OS. It's important to know how package installs work and how devices and drivers are managed within these operating systems. We will also learn about different packaging and file compression methods. By the end of this module, you will know how to create, update, and remove software by using the Windows GUI, Windows CLI and Linux shell.",Module Introduction;Windows: Software Packages;Linux: Software Packages;Mobile App Packages;Windows: Archives;Linux: Archives;Windows: Package Dependencies;Linux: Package Dependencies;Windows: Package Manager;Linux: Package Manager Apt;Windows: Underneath the Hood;Linux: Underneath the Hood;Windows: Devices and Drivers;Linux: Devices and Drivers;Windows: Operating System Updates;Linux: Operating System Updates
https://www.coursera.org/learn/os-power-user,Filesystems,"In the fourth module of this course, we'll learn about how filesystems work for Windows and Linux OS. We'll learn about filesystem types and why they're different for certain OS. We'll learn about disk partitioning and virtual memory and why these are so important for an IT Support Specialist's role. We'll also cover ways mount and unmount filesystems, read disk usage, and repair filesystems. By the end of this module, you will partition and format a disk drive yourself in both Windows and Linux.",Module Introduction;Review of Filesystems;Disk Partitioning and File System Essentials;Windows: Disk Partitioning and Formatting a Filesystem;Windows: Mounting and Unmounting a Filesystem;Linux: Disk Partitioning and Formatting a Filesystem;Linux: Mounting and Unmounting a Filesystem;Windows: Swap;Linux: Swap;Windows: Files;Linux: Files;Windows: Disk Usage;Linux: Disk Usage;Windows: Filesystem Repair;Linux: Filesystem Repair;Ben: The power of computers
https://www.coursera.org/learn/os-power-user,Process Management,"In the fifth module of this course, we'll explore process management. As an IT Support Specialist, it is important to use system tools to read and understand process statuses of machines. We will cover ways to start and terminate a process in Windows and Linux. We will also apply troubleshooting tools to solve problems with processes and resources. By the end of this module, you will use Windows and Linux commands to do practical process maintenance.",Module Introduction;Programs vs Processes Revisited;Windows: Process Creation and Termination;Linux: Process Creation and Termination;Jess: From challenge to passion;Windows: Reading Process Information;Linux: Reading Process Information;Windows: Signals;Linux: Signals;Windows: Managing Processes;Linux: Managing Processes;Mobile App Management;Windows: Resource Monitoring;Linux: Resource Monitoring
https://www.coursera.org/learn/os-power-user,Operating Systems in Practice,"Congratulations, you've made it to the final module in the course! In the last module of this course, we will cover some of the practical aspects of operating systems that you'll use all the time in IT Support. We will cover remote access and how to troubleshoot a computer from afar. We'll explore virtualization tools to manage and remove virtual instances, use logs for system monitoring, and show you a few different techniques for OS deployment. By the end of this module, you will apply all the skills from this course to debug some issues within Windows and Linux OS. Good luck!","Introduction;Remote Connections on Windows ;Remote Connection: File Transfer on Linux;Remote Connection: File Transfer on Windows;Virtual Machines;System Monitoring;The Windows Event Viewer;Linux Logs;Working with Logs;Imaging Software;Operating Systems Deployment Methods;Mobile Device Resetting and Imaging
;Interview Role Play: Operating Systems;Course Wrap Up;Heather: Early career advice;Congratulations!"
https://www.coursera.org/learn/it-security,Understanding Security Threats,"Welcome to the IT Security course of the IT Support Professional Certificate! In the first module of this course, we will cover the basics of security in an IT environment. We will learn how to define and recognize security risks, vulnerabilities and threats. We'll identify the most common security attacks in an organization and understand how security revolves around the ""CIA"" principle. By the end of this module, you will know the types of malicious software, network attacks, client-side attacks, and the essential security terms you'll see in the workplace.",Course Introduction;The CIA Triad;Essential Security Terms;Malicious Software;Malware Continued;Network Attacks;Denial-of-Service;Client-Side Attacks;Password Attacks;Deceptive Attacks
https://www.coursera.org/learn/it-security,Pelcgbybtl (Cryptology),"In the second module of this course, we'll learn about cryptology. We'll explore different types of encryption practices and how they work. We'll show you the most common algorithms used in cryptography and how they've evolved over time. By the end of this module, you'll understand how symmetric encryption, asymmetric encryption, and hashing work; you'll also know how to choose the most appropriate cryptographic method for a scenario you may see in the workplace.",Cryptography;Symmetric Cryptography;Symmetric Encryption Algorithms;Rob: The work of a security engineer;Asymmetric Cryptography;Asymmetric vs. Symmetric Cryptography;Asymmetric Encryption Algorithms;Hashing;Hashing Algorithms;Hashing Algorithms (continued);Public Key Infrastructure;Certificates;Cryptography in Action;Securing Network Traffic;Cryptographic Hardware;Rejection
https://www.coursera.org/learn/it-security,"The 3 A's of Cybersecurity: Authentication, Authorization, Accounting","In the third module of this course, we'll learn about the ""three A's"" in cybersecurity. No matter what type of tech role you're in, it's important to understand how authentication, authorization, and accounting work within an organization. By the end of this module, you'll be able to choose the most appropriate method of authentication, authorization, and level of access granted for users in an organization.","Best practices for authentication;Multifactor Authentication;Multifactor Authentication Options;Certificates, Part Two;RADIUS;Kerberos;TACACS+;Single Sign-On;Rob: My path to IT;Authorization and Access Control Methods;Access Control;Access Control List;Tracking Usage and Access;Rob: Important skills in security"
https://www.coursera.org/learn/it-security,Securing Your Networks,"In the fourth module of this course, we'll learn about secure network architecture. It's important to know how to implement security measures on a network environment, so we'll show you some of the best practices to protect an organization's network. We'll learn about some of the risks of wireless networks and how to mitigate them. We'll also cover ways to monitor network traffic and read packet captures. By the end of this module, you'll understand how VPNs, proxies and reverse proxies work; why 802.1X is a super important for network protection; understand why WPA/WPA2 is better than WEP; and know how to use tcpdump to capture and analyze packets on a network. That's a lot of information, but well worth it for an IT Support Specialist to understand!",Network Hardening Best Practices;Network Hardware Hardening;Network Software Hardening;Joe: My personal obstacle;WEP Encryption and Why You Shouldn't Use It;Let's Get Rid of WEP!;WPA2;Wireless Hardening;Heather: The impact of social engineering;Sniffing the Network;Wireshark and tcpdump;Intrusion Detection/Prevention Systems
https://www.coursera.org/learn/it-security,Defense in Depth,"In the fifth module of this course, we're going to go more in-depth into security defense. We'll cover ways to implement methods for system hardening, application hardening, and determine the policies for OS security. By the end of this module, you'll know why it's important to disable unnecessary components of a system, learn about host-based firewalls, setup anti-malware protection, implement disk encryption, and configure software patch management and application policies.",Intro to Defense in Depth;Disabling Unnecessary Components;Host-Based Firewall;Logging and Auditing;Antimalware Protection;Disk Encryption;Heather: Self-learning is the key to success;Software Patch Management;Application Policies
https://www.coursera.org/learn/it-security,Creating a Company Culture for Security,"Congratulations, you've made it to the final module in the course! In the last module of this course, we'll explore ways to create a company culture for security. It's important for any tech role to determine appropriate measures to meet the three goals of security. By the end of this module, you will develop a security plan for an organization to demonstrate the skills you've learned in this course. You're almost done, keep up the great work!",Security Goals;Measuring and Assessing Risk;Privacy Policy;User Habits;Third-Party Security;Security Training;Alex: Qualities of an IT candidate;Incident Reporting and Analysis;Incident Response and Recovery;Mobile Security and Privacy;Amir: Tips for interviews ;Ari: Tips for interviews;Interview Role Play: Security;Final Assessment;Nathalia: Driving impact with AI in the workplace;Boost your IT Support skills with AI;Leverage AI for faster troubleshooting;Communicate technical concepts with AI;Automate routine tasks with AI;Simplify IT documentation using AI;Use AI to identify IT security risks;Introducing Google AI Essentials;Framing yourself;Congratulations!
https://www.coursera.org/learn/it-security,Prepare for Jobs in IT Support,"You will engage in a series of interactive activities based on concepts you’ve explored and skills you’ve gained throughout the program. You’ll also explore job readiness skills, develop your resume, and practice interviewing for jobs.",
https://www.coursera.org/learn/computer-networking,Introduction to Networking,"Welcome to the Networking course of the IT Support Professional Certificate! In the first module of this course, we will cover the basics of computer networking. We will learn about the TCP/IP and OSI networking models and how the network layers work together. We'll also cover the basics of networking devices such as cables, hubs and switches, routers, servers and clients. We'll also explore the physical layer and data link layer of our networking model in more detail. By the end of this module, you will know how all the different layers of the network model fit together to create a network.","Course Introduction;The TCP/IP Five-Layer Network Model;Alex: Why networking is important;Cables;Hubs and Switches;Routers;Servers and Clients;Sergio: Being a network engineer;Moving Bits Across the Wire;Twisted Pair Cabling and Duplexing;Network Ports and Patch Panels;Ethernet and MAC Addresses;Unicast, Multicast, and Broadcast;Dissecting an Ethernet Frame;Victor: Practical experience in IT"
